Entity,Code,Year,Population density of the top 100 most populous cities,Population density of the top 100 most populous cities (projected) (Projected),Population density of the top 100 most populous cities (Annotations),Population density of the top 100 most populous cities (projected) (Annotations)
Abidjan,,1975,4217.059,,Côte d'Ivoire,
Abidjan,,1980,5053.9097,,Côte d'Ivoire,
Abidjan,,1985,5883.7,,Côte d'Ivoire,
Abidjan,,1990,6695.3696,,Côte d'Ivoire,
Abidjan,,1995,7786.264,,Côte d'Ivoire,
Abidjan,,2000,8916.595,,Côte d'Ivoire,
Abidjan,,2005,9239.14,,Côte d'Ivoire,
Abidjan,,2010,10070.635,,Côte d'Ivoire,
Abidjan,,2015,10793.794,,Côte d'Ivoire,
Abidjan,,2020,12176.607,12176.607,Côte d'Ivoire,Côte d'Ivoire
Abidjan,,2025,,12636.853,,Côte d'Ivoire
Abidjan,,2030,,12927.285,,Côte d'Ivoire
Abidjan,,2035,,13439.3,,Côte d'Ivoire
Abidjan,,2040,,14365.256,,Côte d'Ivoire
Abidjan,,2045,,14532.295,,Côte d'Ivoire
Abidjan,,2050,,14833.305,,Côte d'Ivoire
Abidjan,,2055,,15082.507,,Côte d'Ivoire
Abidjan,,2060,,15085.755,,Côte d'Ivoire
Abidjan,,2065,,15078.83,,Côte d'Ivoire
Abidjan,,2070,,15216.167,,Côte d'Ivoire
Abidjan,,2075,,14853.151,,Côte d'Ivoire
Abidjan,,2080,,15060.403,,Côte d'Ivoire
Abidjan,,2085,,15226.835,,Côte d'Ivoire
Abidjan,,2090,,15377.495,,Côte d'Ivoire
Abidjan,,2095,,15461.684,,Côte d'Ivoire
Abidjan,,2100,,15779.348,,Côte d'Ivoire
Accra,,1975,3255.553,,Ghana,
Accra,,1980,3261.3708,,Ghana,
Accra,,1985,3273.3362,,Ghana,
Accra,,1990,3596.9268,,Ghana,
Accra,,1995,3683.7864,,Ghana,
Accra,,2000,4068.6458,,Ghana,
Accra,,2005,4247.928,,Ghana,
Accra,,2010,4500.7197,,Ghana,
Accra,,2015,4584.658,,Ghana,
Accra,,2020,4898.33,4898.33,Ghana,Ghana
Accra,,2025,,4998.016,,Ghana
Accra,,2030,,5215.4375,,Ghana
Accra,,2035,,5365.2197,,Ghana
Accra,,2040,,5510.2607,,Ghana
Accra,,2045,,5568.676,,Ghana
Accra,,2050,,5693.79,,Ghana
Accra,,2055,,5728.7593,,Ghana
Accra,,2060,,5750.3115,,Ghana
Accra,,2065,,5824.313,,Ghana
Accra,,2070,,5823.0825,,Ghana
Accra,,2075,,5867.375,,Ghana
Accra,,2080,,5855.9844,,Ghana
Accra,,2085,,5887.918,,Ghana
Accra,,2090,,5890.4893,,Ghana
Accra,,2095,,5893.042,,Ghana
Accra,,2100,,5893.0146,,Ghana
Addis Ababa,,1975,5679.0933,,Ethiopia,
Addis Ababa,,1980,5573.3413,,Ethiopia,
Addis Ababa,,1985,5411.3794,,Ethiopia,
Addis Ababa,,1990,5980.169,,Ethiopia,
Addis Ababa,,1995,6599.575,,Ethiopia,
Addis Ababa,,2000,7176.668,,Ethiopia,
Addis Ababa,,2005,7650.717,,Ethiopia,
Addis Ababa,,2010,8745.7705,,Ethiopia,
Addis Ababa,,2015,10262.615,,Ethiopia,
Addis Ababa,,2020,12872.589,12872.589,Ethiopia,Ethiopia
Addis Ababa,,2025,,13713.098,,Ethiopia
Addis Ababa,,2030,,13803.283,,Ethiopia
Addis Ababa,,2035,,13554.84,,Ethiopia
Addis Ababa,,2040,,14175.39,,Ethiopia
Addis Ababa,,2045,,13994.191,,Ethiopia
Addis Ababa,,2050,,14206.298,,Ethiopia
Addis Ababa,,2055,,14342.13,,Ethiopia
Addis Ababa,,2060,,14755.551,,Ethiopia
Addis Ababa,,2065,,14728.829,,Ethiopia
Addis Ababa,,2070,,14586.873,,Ethiopia
Addis Ababa,,2075,,14534.945,,Ethiopia
Addis Ababa,,2080,,14524.354,,Ethiopia
Addis Ababa,,2085,,14378.747,,Ethiopia
Addis Ababa,,2090,,14100.276,,Ethiopia
Addis Ababa,,2095,,14118.675,,Ethiopia
Addis Ababa,,2100,,14123,,Ethiopia
Ahmedabad,,1975,11419.6,,India,
Ahmedabad,,1980,12755.779,,India,
Ahmedabad,,1985,14049.151,,India,
Ahmedabad,,1990,15488.995,,India,
Ahmedabad,,1995,16396.754,,India,
Ahmedabad,,2000,17836.604,,India,
Ahmedabad,,2005,18295,,India,
Ahmedabad,,2010,19121.725,,India,
Ahmedabad,,2015,19475.07,,India,
Ahmedabad,,2020,20626.467,20626.467,India,India
Ahmedabad,,2025,,20910.707,,India
Ahmedabad,,2030,,20928.152,,India
Ahmedabad,,2035,,20841.988,,India
Ahmedabad,,2040,,20164.809,,India
Ahmedabad,,2045,,20160.29,,India
Ahmedabad,,2050,,19989.504,,India
Ahmedabad,,2055,,19931.309,,India
Ahmedabad,,2060,,19950.992,,India
Ahmedabad,,2065,,19983.559,,India
Ahmedabad,,2070,,19916.867,,India
Ahmedabad,,2075,,19832.986,,India
Ahmedabad,,2080,,19666.38,,India
Ahmedabad,,2085,,19487.227,,India
Ahmedabad,,2090,,19261.807,,India
Ahmedabad,,2095,,19026.686,,India
Ahmedabad,,2100,,18777.145,,India
Alexandria,,1975,10806.837,,Egypt,
Alexandria,,1980,10886.363,,Egypt,
Alexandria,,1985,11461.335,,Egypt,
Alexandria,,1990,11270.101,,Egypt,
Alexandria,,1995,11426.09,,Egypt,
Alexandria,,2000,11691.171,,Egypt,
Alexandria,,2005,12002.474,,Egypt,
Alexandria,,2010,12227.607,,Egypt,
Alexandria,,2015,12826.044,,Egypt,
Alexandria,,2020,13366.758,13366.758,Egypt,Egypt
Alexandria,,2025,,12296.036,,Egypt
Alexandria,,2030,,12296.101,,Egypt
Alexandria,,2035,,12057.363,,Egypt
Alexandria,,2040,,11853.102,,Egypt
Alexandria,,2045,,12081.157,,Egypt
Alexandria,,2050,,11537.884,,Egypt
Alexandria,,2055,,11403.207,,Egypt
Alexandria,,2060,,11252.976,,Egypt
Alexandria,,2065,,11045.763,,Egypt
Alexandria,,2070,,10786.865,,Egypt
Alexandria,,2075,,10725.787,,Egypt
Alexandria,,2080,,10482.1455,,Egypt
Alexandria,,2085,,10508.942,,Egypt
Alexandria,,2090,,10515.673,,Egypt
Alexandria,,2095,,10540.516,,Egypt
Alexandria,,2100,,10442.1455,,Egypt
Amman,,1975,4137.022,,Jordan,
Amman,,1980,4785.3037,,Jordan,
Amman,,1985,5274.9595,,Jordan,
Amman,,1990,6140.6475,,Jordan,
Amman,,1995,6305.0596,,Jordan,
Amman,,2000,6946.0674,,Jordan,
Amman,,2005,6812.5757,,Jordan,
Amman,,2010,8000.4497,,Jordan,
Amman,,2015,9477.61,,Jordan,
Amman,,2020,12166.1045,12166.1045,Jordan,Jordan
Amman,,2025,,12082.389,,Jordan
Amman,,2030,,12497.614,,Jordan
Amman,,2035,,12130.677,,Jordan
Amman,,2040,,12015.713,,Jordan
Amman,,2045,,11758.291,,Jordan
Amman,,2050,,11705.805,,Jordan
Amman,,2055,,11629.234,,Jordan
Amman,,2060,,11439.21,,Jordan
Amman,,2065,,11324.9,,Jordan
Amman,,2070,,11289.161,,Jordan
Amman,,2075,,11159.456,,Jordan
Amman,,2080,,11082.051,,Jordan
Amman,,2085,,10870.996,,Jordan
Amman,,2090,,10834.521,,Jordan
Amman,,2095,,10905.592,,Jordan
Amman,,2100,,10847.248,,Jordan
Baghdad,,1975,4585.2334,,Iraq,
Baghdad,,1980,5170.5605,,Iraq,
Baghdad,,1985,5651.8257,,Iraq,
Baghdad,,1990,6111.606,,Iraq,
Baghdad,,1995,6743.895,,Iraq,
Baghdad,,2000,7315.1807,,Iraq,
Baghdad,,2005,7373.4014,,Iraq,
Baghdad,,2010,7669.753,,Iraq,
Baghdad,,2015,8265.338,,Iraq,
Baghdad,,2020,9033.218,9033.218,Iraq,Iraq
Baghdad,,2025,,9116.598,,Iraq
Baghdad,,2030,,9094.748,,Iraq
Baghdad,,2035,,9205.36,,Iraq
Baghdad,,2040,,9364.024,,Iraq
Baghdad,,2045,,8994.007,,Iraq
Baghdad,,2050,,8939.549,,Iraq
Baghdad,,2055,,8884.443,,Iraq
Baghdad,,2060,,8849.352,,Iraq
Baghdad,,2065,,8785.747,,Iraq
Baghdad,,2070,,8758.002,,Iraq
Baghdad,,2075,,8772.084,,Iraq
Baghdad,,2080,,8696.296,,Iraq
Baghdad,,2085,,8693.076,,Iraq
Baghdad,,2090,,8636.319,,Iraq
Baghdad,,2095,,8641.612,,Iraq
Baghdad,,2100,,8610.392,,Iraq
Bandung,,1975,6448.5317,,Indonesia,
Bandung,,1980,6973.1514,,Indonesia,
Bandung,,1985,7008.593,,Indonesia,
Bandung,,1990,7047.0566,,Indonesia,
Bandung,,1995,7347.5996,,Indonesia,
Bandung,,2000,7838.3794,,Indonesia,
Bandung,,2005,7871.0776,,Indonesia,
Bandung,,2010,8139.691,,Indonesia,
Bandung,,2015,8442.564,,Indonesia,
Bandung,,2020,8754.888,8754.888,Indonesia,Indonesia
Bandung,,2025,,8768.804,,Indonesia
Bandung,,2030,,8965.283,,Indonesia
Bandung,,2035,,8790.332,,Indonesia
Bandung,,2040,,8722.733,,Indonesia
Bandung,,2045,,8638.481,,Indonesia
Bandung,,2050,,8656.228,,Indonesia
Bandung,,2055,,8641.41,,Indonesia
Bandung,,2060,,8587.944,,Indonesia
Bandung,,2065,,8511.102,,Indonesia
Bandung,,2070,,8434.102,,Indonesia
Bandung,,2075,,8388.478,,Indonesia
Bandung,,2080,,8264.553,,Indonesia
Bandung,,2085,,8135.0063,,Indonesia
Bandung,,2090,,8015.51,,Indonesia
Bandung,,2095,,7890.627,,Indonesia
Bandung,,2100,,7744.804,,Indonesia
Bangkok,,1975,4809.976,,Thailand,
Bangkok,,1980,5134.42,,Thailand,
Bangkok,,1985,5301.6313,,Thailand,
Bangkok,,1990,5276.9434,,Thailand,
Bangkok,,1995,4976.96,,Thailand,
Bangkok,,2000,4825.499,,Thailand,
Bangkok,,2005,4984.1826,,Thailand,
Bangkok,,2010,5408.8906,,Thailand,
Bangkok,,2015,5890.6235,,Thailand,
Bangkok,,2020,6634.657,6634.657,Thailand,Thailand
Bangkok,,2025,,6832.123,,Thailand
Bangkok,,2030,,7001.109,,Thailand
Bangkok,,2035,,7069.1885,,Thailand
Bangkok,,2040,,7097.719,,Thailand
Bangkok,,2045,,7053.3545,,Thailand
Bangkok,,2050,,7029.2705,,Thailand
Bangkok,,2055,,7000.74,,Thailand
Bangkok,,2060,,6961.501,,Thailand
Bangkok,,2065,,6879.5757,,Thailand
Bangkok,,2070,,6856.528,,Thailand
Bangkok,,2075,,6830.6016,,Thailand
Bangkok,,2080,,6756.5596,,Thailand
Bangkok,,2085,,6666.409,,Thailand
Bangkok,,2090,,6584.842,,Thailand
Bangkok,,2095,,6476.3794,,Thailand
Bangkok,,2100,,6358.619,,Thailand
Beijing,,1975,6210.8086,,China,
Beijing,,1980,6485.081,,China,
Beijing,,1985,6690.1753,,China,
Beijing,,1990,6913.002,,China,
Beijing,,1995,7434.994,,China,
Beijing,,2000,7820.9253,,China,
Beijing,,2005,8613.708,,China,
Beijing,,2010,9567.6455,,China,
Beijing,,2015,9473.258,,China,
Beijing,,2020,9924.31,9924.31,China,China
Beijing,,2025,,9931.875,,China
Beijing,,2030,,9499.463,,China
Beijing,,2035,,9397.959,,China
Beijing,,2040,,9276.176,,China
Beijing,,2045,,9291.724,,China
Beijing,,2050,,9242.38,,China
Beijing,,2055,,9133.023,,China
Beijing,,2060,,9080.755,,China
Beijing,,2065,,9128.111,,China
Beijing,,2070,,9079.491,,China
Beijing,,2075,,8978.704,,China
Beijing,,2080,,8736.638,,China
Beijing,,2085,,8505.881,,China
Beijing,,2090,,8257.502,,China
Beijing,,2095,,7966.8657,,China
Beijing,,2100,,7655.2676,,China
Belo Horizonte,,1975,3018.8499,,Brazil,
Belo Horizonte,,1980,3720.5776,,Brazil,
Belo Horizonte,,1985,4240.1255,,Brazil,
Belo Horizonte,,1990,4821.917,,Brazil,
Belo Horizonte,,1995,5564.44,,Brazil,
Belo Horizonte,,2000,6274.539,,Brazil,
Belo Horizonte,,2005,6361.9507,,Brazil,
Belo Horizonte,,2010,6581.061,,Brazil,
Belo Horizonte,,2015,6804.979,,Brazil,
Belo Horizonte,,2020,7029.509,7029.509,Brazil,Brazil
Belo Horizonte,,2025,,7067.5957,,Brazil
Belo Horizonte,,2030,,7046.019,,Brazil
Belo Horizonte,,2035,,7039.771,,Brazil
Belo Horizonte,,2040,,7007.7793,,Brazil
Belo Horizonte,,2045,,6967.5244,,Brazil
Belo Horizonte,,2050,,6885.087,,Brazil
Belo Horizonte,,2055,,6794.3164,,Brazil
Belo Horizonte,,2060,,6689.3994,,Brazil
Belo Horizonte,,2065,,6579.2466,,Brazil
Belo Horizonte,,2070,,6444.6406,,Brazil
Belo Horizonte,,2075,,6286.7744,,Brazil
Belo Horizonte,,2080,,6119.2324,,Brazil
Belo Horizonte,,2085,,5945.811,,Brazil
Belo Horizonte,,2090,,5779.787,,Brazil
Belo Horizonte,,2095,,5607.811,,Brazil
Belo Horizonte,,2100,,5444.849,,Brazil
Bengaluru,,1975,12341.357,,India,
Bengaluru,,1980,15323.29,,India,
Bengaluru,,1985,15604.531,,India,
Bengaluru,,1990,16760.72,,India,
Bengaluru,,1995,16401.928,,India,
Bengaluru,,2000,16312.476,,India,
Bengaluru,,2005,15837.525,,India,
Bengaluru,,2010,17460.293,,India,
Bengaluru,,2015,18759.58,,India,
Bengaluru,,2020,20260.178,20260.178,India,India
Bengaluru,,2025,,20540.652,,India
Bengaluru,,2030,,19478.29,,India
Bengaluru,,2035,,19285.137,,India
Bengaluru,,2040,,18521.213,,India
Bengaluru,,2045,,18523.256,,India
Bengaluru,,2050,,18350.258,,India
Bengaluru,,2055,,18326.678,,India
Bengaluru,,2060,,18217.002,,India
Bengaluru,,2065,,18122.404,,India
Bengaluru,,2070,,18066.918,,India
Bengaluru,,2075,,18020.102,,India
Bengaluru,,2080,,18026.7,,India
Bengaluru,,2085,,17918.2,,India
Bengaluru,,2090,,17830.492,,India
Bengaluru,,2095,,17786.086,,India
Bengaluru,,2100,,17705.52,,India
Bogota,,1975,8603.427,,Colombia,
Bogota,,1980,9611.95,,Colombia,
Bogota,,1985,10713.093,,Colombia,
Bogota,,1990,12006.6455,,Colombia,
Bogota,,1995,12974.501,,Colombia,
Bogota,,2000,13997.438,,Colombia,
Bogota,,2005,15422.166,,Colombia,
Bogota,,2010,16923.545,,Colombia,
Bogota,,2015,17976.242,,Colombia,
Bogota,,2020,19216.934,19216.934,Colombia,Colombia
Bogota,,2025,,19602.057,,Colombia
Bogota,,2030,,20429.018,,Colombia
Bogota,,2035,,19245.639,,Colombia
Bogota,,2040,,18268.35,,Colombia
Bogota,,2045,,17909.174,,Colombia
Bogota,,2050,,17624.314,,Colombia
Bogota,,2055,,17483.041,,Colombia
Bogota,,2060,,17200.021,,Colombia
Bogota,,2065,,17175.963,,Colombia
Bogota,,2070,,16974.186,,Colombia
Bogota,,2075,,16766.37,,Colombia
Bogota,,2080,,16546.387,,Colombia
Bogota,,2085,,16194.229,,Colombia
Bogota,,2090,,15811.422,,Colombia
Bogota,,2095,,15410.177,,Colombia
Bogota,,2100,,15113.363,,Colombia
Buenos Aires,,1975,5360.614,,Argentina,
Buenos Aires,,1980,5642.912,,Argentina,
Buenos Aires,,1985,5884.1665,,Argentina,
Buenos Aires,,1990,6066.4336,,Argentina,
Buenos Aires,,1995,6114.166,,Argentina,
Buenos Aires,,2000,6219.6675,,Argentina,
Buenos Aires,,2005,6309.794,,Argentina,
Buenos Aires,,2010,6464.6377,,Argentina,
Buenos Aires,,2015,6409.243,,Argentina,
Buenos Aires,,2020,6433.414,6433.414,Argentina,Argentina
Buenos Aires,,2025,,6477.697,,Argentina
Buenos Aires,,2030,,6504.5923,,Argentina
Buenos Aires,,2035,,6495.2124,,Argentina
Buenos Aires,,2040,,6485.6226,,Argentina
Buenos Aires,,2045,,6474.3276,,Argentina
Buenos Aires,,2050,,6435.6455,,Argentina
Buenos Aires,,2055,,6387.3745,,Argentina
Buenos Aires,,2060,,6293.0054,,Argentina
Buenos Aires,,2065,,6174.779,,Argentina
Buenos Aires,,2070,,6039.3022,,Argentina
Buenos Aires,,2075,,5904.4644,,Argentina
Buenos Aires,,2080,,5747.242,,Argentina
Buenos Aires,,2085,,5594.9023,,Argentina
Buenos Aires,,2090,,5416.438,,Argentina
Buenos Aires,,2095,,5255.862,,Argentina
Buenos Aires,,2100,,5072.901,,Argentina
Cairo,,1975,12218.25,,Egypt,
Cairo,,1980,12256.392,,Egypt,
Cairo,,1985,12188.373,,Egypt,
Cairo,,1990,12595.61,,Egypt,
Cairo,,1995,12896.207,,Egypt,
Cairo,,2000,13787.704,,Egypt,
Cairo,,2005,14027.159,,Egypt,
Cairo,,2010,14263.267,,Egypt,
Cairo,,2015,14650.527,,Egypt,
Cairo,,2020,15687.617,15687.617,Egypt,Egypt
Cairo,,2025,,15541.703,,Egypt
Cairo,,2030,,15324.111,,Egypt
Cairo,,2035,,14838.346,,Egypt
Cairo,,2040,,14757.874,,Egypt
Cairo,,2045,,15137.39,,Egypt
Cairo,,2050,,15368.45,,Egypt
Cairo,,2055,,15620.943,,Egypt
Cairo,,2060,,15637.628,,Egypt
Cairo,,2065,,15730.303,,Egypt
Cairo,,2070,,15829.833,,Egypt
Cairo,,2075,,15935.431,,Egypt
Cairo,,2080,,16055.112,,Egypt
Cairo,,2085,,16127.938,,Egypt
Cairo,,2090,,16116.385,,Egypt
Cairo,,2095,,16089.765,,Egypt
Cairo,,2100,,16082.0205,,Egypt
Cape Town,,1975,3225.2883,,South Africa,
Cape Town,,1980,3460.8037,,South Africa,
Cape Town,,1985,3862.3352,,South Africa,
Cape Town,,1990,3843.7961,,South Africa,
Cape Town,,1995,3873.5596,,South Africa,
Cape Town,,2000,4065.3628,,South Africa,
Cape Town,,2005,4400.3174,,South Africa,
Cape Town,,2010,4877.7144,,South Africa,
Cape Town,,2015,5373.7505,,South Africa,
Cape Town,,2020,5986.772,5986.772,South Africa,South Africa
Cape Town,,2025,,6306.1836,,South Africa
Cape Town,,2030,,6489.336,,South Africa
Cape Town,,2035,,6901.4194,,South Africa
Cape Town,,2040,,7080.6045,,South Africa
Cape Town,,2045,,7332.224,,South Africa
Cape Town,,2050,,7472.532,,South Africa
Cape Town,,2055,,7683.329,,South Africa
Cape Town,,2060,,7916.651,,South Africa
Cape Town,,2065,,8068.548,,South Africa
Cape Town,,2070,,8121.484,,South Africa
Cape Town,,2075,,8042.5117,,South Africa
Cape Town,,2080,,8137.8384,,South Africa
Cape Town,,2085,,8041.9927,,South Africa
Cape Town,,2090,,8080.8135,,South Africa
Cape Town,,2095,,8091.8125,,South Africa
Cape Town,,2100,,8096.7847,,South Africa
Casablanca,,1975,7324.4126,,Morocco,
Casablanca,,1980,7733.7163,,Morocco,
Casablanca,,1985,8341.636,,Morocco,
Casablanca,,1990,8924.974,,Morocco,
Casablanca,,1995,9638.783,,Morocco,
Casablanca,,2000,9848.687,,Morocco,
Casablanca,,2005,9632.37,,Morocco,
Casablanca,,2010,9898.765,,Morocco,
Casablanca,,2015,10251.042,,Morocco,
Casablanca,,2020,10587.914,10587.914,Morocco,Morocco
Casablanca,,2025,,10845.428,,Morocco
Casablanca,,2030,,10994.183,,Morocco
Casablanca,,2035,,10885.736,,Morocco
Casablanca,,2040,,11041.332,,Morocco
Casablanca,,2045,,11153.672,,Morocco
Casablanca,,2050,,10987.772,,Morocco
Casablanca,,2055,,10871.237,,Morocco
Casablanca,,2060,,10820.964,,Morocco
Casablanca,,2065,,10812.699,,Morocco
Casablanca,,2070,,10759.676,,Morocco
Casablanca,,2075,,10884.768,,Morocco
Casablanca,,2080,,10782.587,,Morocco
Casablanca,,2085,,10666.019,,Morocco
Casablanca,,2090,,10521.69,,Morocco
Casablanca,,2095,,10358.11,,Morocco
Casablanca,,2100,,10172.089,,Morocco
Chaozhou,,1975,4190.5566,,China,
Chaozhou,,1980,3905.7312,,China,
Chaozhou,,1985,3471.713,,China,
Chaozhou,,1990,3506.6177,,China,
Chaozhou,,1995,3885.7053,,China,
Chaozhou,,2000,4781.9106,,China,
Chaozhou,,2005,4838.573,,China,
Chaozhou,,2010,4852.564,,China,
Chaozhou,,2015,5000.1367,,China,
Chaozhou,,2020,5240.3633,5240.3633,China,China
Chaozhou,,2025,,5239.3867,,China
Chaozhou,,2030,,5284.1836,,China
Chaozhou,,2035,,5282.6675,,China
Chaozhou,,2040,,5319.3467,,China
Chaozhou,,2045,,5335.877,,China
Chaozhou,,2050,,5258.8486,,China
Chaozhou,,2055,,5172.082,,China
Chaozhou,,2060,,5050.5317,,China
Chaozhou,,2065,,4991.363,,China
Chaozhou,,2070,,4848.096,,China
Chaozhou,,2075,,4787.2666,,China
Chaozhou,,2080,,4694.786,,China
Chaozhou,,2085,,4628.217,,China
Chaozhou,,2090,,4562.8374,,China
Chaozhou,,2095,,4416.128,,China
Chaozhou,,2100,,4431.525,,China
Chattogram,,1975,6377.7393,,Bangladesh,
Chattogram,,1980,7263.88,,Bangladesh,
Chattogram,,1985,8306.911,,Bangladesh,
Chattogram,,1990,8879.55,,Bangladesh,
Chattogram,,1995,9869.66,,Bangladesh,
Chattogram,,2000,10860.176,,Bangladesh,
Chattogram,,2005,11317.603,,Bangladesh,
Chattogram,,2010,10466.548,,Bangladesh,
Chattogram,,2015,9954.965,,Bangladesh,
Chattogram,,2020,9862.558,9862.558,Bangladesh,Bangladesh
Chattogram,,2025,,9510.597,,Bangladesh
Chattogram,,2030,,9226.351,,Bangladesh
Chattogram,,2035,,9229.602,,Bangladesh
Chattogram,,2040,,9290.08,,Bangladesh
Chattogram,,2045,,9169.001,,Bangladesh
Chattogram,,2050,,9121.487,,Bangladesh
Chattogram,,2055,,8450.685,,Bangladesh
Chattogram,,2060,,8402.311,,Bangladesh
Chattogram,,2065,,8445.061,,Bangladesh
Chattogram,,2070,,8354.99,,Bangladesh
Chattogram,,2075,,8320.368,,Bangladesh
Chattogram,,2080,,8321.617,,Bangladesh
Chattogram,,2085,,8221.19,,Bangladesh
Chattogram,,2090,,8086.2246,,Bangladesh
Chattogram,,2095,,8088.209,,Bangladesh
Chattogram,,2100,,8135.318,,Bangladesh
Chengdu,,1975,8933.863,,China,
Chengdu,,1980,8246.218,,China,
Chengdu,,1985,7885.637,,China,
Chengdu,,1990,7865.4443,,China,
Chengdu,,1995,7089.1606,,China,
Chengdu,,2000,7738.7173,,China,
Chengdu,,2005,7714.314,,China,
Chengdu,,2010,8098.913,,China,
Chengdu,,2015,7681.289,,China,
Chengdu,,2020,7197.4917,7197.4917,China,China
Chengdu,,2025,,7089.9233,,China
Chengdu,,2030,,6927.964,,China
Chengdu,,2035,,6782.976,,China
Chengdu,,2040,,6661.297,,China
Chengdu,,2045,,6642.162,,China
Chengdu,,2050,,6440.4507,,China
Chengdu,,2055,,6285.738,,China
Chengdu,,2060,,6140.824,,China
Chengdu,,2065,,6024.165,,China
Chengdu,,2070,,5839.647,,China
Chengdu,,2075,,5763.127,,China
Chengdu,,2080,,5507.49,,China
Chengdu,,2085,,5349.205,,China
Chengdu,,2090,,5097.9434,,China
Chengdu,,2095,,5138.254,,China
Chengdu,,2100,,4991.594,,China
Chennai,,1975,12455.875,,India,
Chennai,,1980,12520.331,,India,
Chennai,,1985,12799.946,,India,
Chennai,,1990,12620.011,,India,
Chennai,,1995,10781.861,,India,
Chennai,,2000,10109.572,,India,
Chennai,,2005,9613.287,,India,
Chennai,,2010,10033.154,,India,
Chennai,,2015,10601.209,,India,
Chennai,,2020,10822.524,10822.524,India,India
Chennai,,2025,,10531.827,,India
Chennai,,2030,,10608.265,,India
Chennai,,2035,,10629.335,,India
Chennai,,2040,,10692.27,,India
Chennai,,2045,,10646.973,,India
Chennai,,2050,,10601.088,,India
Chennai,,2055,,10607.349,,India
Chennai,,2060,,10562.803,,India
Chennai,,2065,,10515.277,,India
Chennai,,2070,,10372.999,,India
Chennai,,2075,,10270.723,,India
Chennai,,2080,,10201.57,,India
Chennai,,2085,,10056.42,,India
Chennai,,2090,,9927.566,,India
Chennai,,2095,,9824.767,,India
Chennai,,2100,,9658.175,,India
Chongqing,,1975,7006.303,,China,
Chongqing,,1980,6636.9517,,China,
Chongqing,,1985,7158.943,,China,
Chongqing,,1990,7990.5713,,China,
Chongqing,,1995,9921.575,,China,
Chongqing,,2000,12227.67,,China,
Chongqing,,2005,11744.278,,China,
Chongqing,,2010,10785.162,,China,
Chongqing,,2015,11814.991,,China,
Chongqing,,2020,13006.364,13006.364,China,China
Chongqing,,2025,,12833.164,,China
Chongqing,,2030,,12801.73,,China
Chongqing,,2035,,12823.637,,China
Chongqing,,2040,,12481.726,,China
Chongqing,,2045,,12248.07,,China
Chongqing,,2050,,11945.964,,China
Chongqing,,2055,,11693.714,,China
Chongqing,,2060,,11632.84,,China
Chongqing,,2065,,11183.895,,China
Chongqing,,2070,,10755.594,,China
Chongqing,,2075,,10372.229,,China
Chongqing,,2080,,10056.126,,China
Chongqing,,2085,,9531.683,,China
Chongqing,,2090,,9171.758,,China
Chongqing,,2095,,8953.653,,China
Chongqing,,2100,,8595.206,,China
Colombo,,1975,3910.8198,,Sri Lanka,
Colombo,,1980,3627.5195,,Sri Lanka,
Colombo,,1985,3672.7366,,Sri Lanka,
Colombo,,1990,3591.4575,,Sri Lanka,
Colombo,,1995,3643.3992,,Sri Lanka,
Colombo,,2000,3849.2576,,Sri Lanka,
Colombo,,2005,3904.68,,Sri Lanka,
Colombo,,2010,3876.0442,,Sri Lanka,
Colombo,,2015,3876.92,,Sri Lanka,
Colombo,,2020,3887.2246,3887.2246,Sri Lanka,Sri Lanka
Colombo,,2025,,3892.5767,,Sri Lanka
Colombo,,2030,,3897.2434,,Sri Lanka
Colombo,,2035,,3860.021,,Sri Lanka
Colombo,,2040,,3893.3162,,Sri Lanka
Colombo,,2045,,3933.1128,,Sri Lanka
Colombo,,2050,,3948.4592,,Sri Lanka
Colombo,,2055,,3927.3384,,Sri Lanka
Colombo,,2060,,3920.505,,Sri Lanka
Colombo,,2065,,3902.1543,,Sri Lanka
Colombo,,2070,,3893.921,,Sri Lanka
Colombo,,2075,,3862.1165,,Sri Lanka
Colombo,,2080,,3814.9,,Sri Lanka
Colombo,,2085,,3767.526,,Sri Lanka
Colombo,,2090,,3705.0771,,Sri Lanka
Colombo,,2095,,3647.4238,,Sri Lanka
Colombo,,2100,,3617.5332,,Sri Lanka
Dar es Salaam,,1975,2769.9128,,Tanzania,
Dar es Salaam,,1980,3322.7644,,Tanzania,
Dar es Salaam,,1985,3828.9111,,Tanzania,
Dar es Salaam,,1990,3627.5046,,Tanzania,
Dar es Salaam,,1995,3928.3289,,Tanzania,
Dar es Salaam,,2000,4298.0195,,Tanzania,
Dar es Salaam,,2005,4966.958,,Tanzania,
Dar es Salaam,,2010,5810.0283,,Tanzania,
Dar es Salaam,,2015,6846.172,,Tanzania,
Dar es Salaam,,2020,8146.26,8146.26,Tanzania,Tanzania
Dar es Salaam,,2025,,8575.482,,Tanzania
Dar es Salaam,,2030,,9027.995,,Tanzania
Dar es Salaam,,2035,,9351.747,,Tanzania
Dar es Salaam,,2040,,9951.752,,Tanzania
Dar es Salaam,,2045,,10099.366,,Tanzania
Dar es Salaam,,2050,,10329.599,,Tanzania
Dar es Salaam,,2055,,10531.222,,Tanzania
Dar es Salaam,,2060,,10693.012,,Tanzania
Dar es Salaam,,2065,,11008.355,,Tanzania
Dar es Salaam,,2070,,11092.47,,Tanzania
Dar es Salaam,,2075,,11029.09,,Tanzania
